PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Full Text Link
25689950,"Evaluation of anti-inflammatory, anti-nociceptive, and anti-arthritic activities of Indian Apis dorsata bee venom in experimental animals: biochemical, histological, and radiological assessment","Nipate SS, Hurali PB, Ghaisas MM.",Immunopharmacol Immunotoxicol. 2015 Apr;37(2):171-84. doi: 10.3109/08923973.2015.1009996. Epub 2015 Feb 18.,Nipate SS,Immunopharmacol Immunotoxicol,2015,19/02/15,,,10.3109/08923973.2015.1009996,https://www.tandfonline.com/doi/full/10.3109/08923973.2015.1009996
20506686,Effect of ethanolic extract of Premna corymbosa (Burm. f.) Rottl. & Willd. leaves in complete Freund's adjuvant-induced arthritis in Wistar albino rats,"Karthikeyan M, Deepa K.",J Basic Clin Physiol Pharmacol. 2010;21(1):15-26. doi: 10.1515/jbcpp.2010.21.1.15.,Karthikeyan M,J Basic Clin Physiol Pharmacol,2010,29/05/10,,,10.1515/jbcpp.2010.21.1.15,https://www.degruyter.com/document/doi/10.1515/jbcpp.2010.21.1.15
27878500,Anti-inflammatory and antioxidant effect of Kerabala: a value-added ayurvedic formulation from virgin coconut oil inhibits pathogenesis in adjuvant-induced arthritis,"Ratheesh M, Sandya S, Pramod C, Asha S, Svenia JP, Premlal S, GrishKumar B.",Inflammopharmacology. 2017 Feb;25(1):41-53. doi: 10.1007/s10787-016-0298-8. Epub 2016 Nov 22.,Ratheesh M,Inflammopharmacology,2017,24/11/16,,,10.1007/s10787-016-0298-8,No full text link found
11025145,Immunomodulatory and anti-inflammatory activity of Picrorhiza scrophulariiflora,"Smit HF, Kroes BH, van den Berg AJ, van der Wal D, van den Worm E, Beukelman CJ, van Dijk H, Labadie RP.",J Ethnopharmacol. 2000 Nov;73(1-2):101-9. doi: 10.1016/s0378-8741(00)00268-3.,Smit HF,J Ethnopharmacol,2000,12/10/00,,,10.1016/s0378-8741(00)00268-3,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(00)00268-3
33878416,Curculigoside attenuates oxidative stress and osteoclastogenesis via modulating Nrf2/NF-κB signaling pathway in RAW264.7 cells,"Liu M, Liu S, Zhang Q, Fang Y, Yu Y, Zhu L, Liu Y, Gong W, Zhao L, Qin L, Zhang Q.",J Ethnopharmacol. 2021 Jul 15;275:114129. doi: 10.1016/j.jep.2021.114129. Epub 2021 Apr 18.,Liu M,J Ethnopharmacol,2021,20/04/21,,,10.1016/j.jep.2021.114129,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(21)00356-1
38622289,Exploring the immunomodulatory potential of Brahmi (Bacopa monnieri) in the treatment of invasive ductal carcinoma,"Roy S, Shanmugam G, Rakshit S, Pradeep R, George M, Sarkar K.",Med Oncol. 2024 Apr 15;41(5):115. doi: 10.1007/s12032-024-02365-x.,Roy S,Med Oncol,2024,15/04/24,,,10.1007/s12032-024-02365-x,https://dx.doi.org/10.1007/s12032-024-02365-x
11411037,Semecarpus anacardium Linn. nuts--a boon in alternative medicine,Premalatha B.,Indian J Exp Biol. 2000 Dec;38(12):1177-82.,Premalatha B,Indian J Exp Biol,2000,20/06/01,,,,No full text link found
27590732,Inventorization of some ayurvedic plants and their ethnomedicinal use in Kakrajhore forest area of West Bengal,"Biswas S, Shaw R, Bala S, Mazumdar A.",J Ethnopharmacol. 2017 Feb 2;197:231-241. doi: 10.1016/j.jep.2016.08.014. Epub 2016 Aug 30.,Biswas S,J Ethnopharmacol,2017,04/09/16,,,10.1016/j.jep.2016.08.014,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(16)30539-6
39218128,Evaluation of Anti-arthritic and in-vitro Anti-inflammatory activity of Vaisvanara Churna,"Ilavarasan R, Arunadevi R, Kusuma G, Gaidhani SN, Thenmozhi M, Manikandan N.",J Ethnopharmacol. 2024 Aug 31;337(Pt 1):118774. doi: 10.1016/j.jep.2024.118774. Online ahead of print.,Ilavarasan R,J Ethnopharmacol,2024,01/09/24,,,10.1016/j.jep.2024.118774,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(24)01073-0
2747250,Studies on the mechanism of action of Semecarpus anacardium in rheumatoid arthritis,"Saraf MN, Ghooi RB, Patwardhan BK.",J Ethnopharmacol. 1989 Apr;25(2):159-64. doi: 10.1016/0378-8741(89)90017-2.,Saraf MN,J Ethnopharmacol,1989,01/04/89,,,10.1016/0378-8741(89)90017-2,https://linkinghub.elsevier.com/retrieve/pii/0378-8741(89)90017-2
23930040,Evaluation of anti-inflammatory potential of the multidrug herbomineral formulation in male Wistar rats against rheumatoid arthritis,"Patel SS, Shah PV.",J Ayurveda Integr Med. 2013 Apr;4(2):86-93. doi: 10.4103/0975-9476.113869.,Patel SS,J Ayurveda Integr Med,2013,10/08/13,PMC3737452,,10.4103/0975-9476.113869,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/23930040/
28669703,Design and development of Unani anti-inflammatory cream,"Fatima S, Zaman R, Haider N, Shamsi S, Alam A.",J Ayurveda Integr Med. 2017 Jul-Sep;8(3):140-144. doi: 10.1016/j.jaim.2017.03.002. Epub 2017 Jun 29.,Fatima S,J Ayurveda Integr Med,2017,04/07/17,PMC5607395,,10.1016/j.jaim.2017.03.002,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(16)30441-7
33321204,"Pan-genomics, drug candidate mining and ADMET profiling of natural product inhibitors screened against Yersinia pseudotuberculosis","Basharat Z, Jahanzaib M, Yasmin A, Khan IA.",Genomics. 2021 Jan;113(1 Pt 1):238-244. doi: 10.1016/j.ygeno.2020.12.015. Epub 2020 Dec 13.,Basharat Z,Genomics,2021,15/12/20,,,10.1016/j.ygeno.2020.12.015,https://linkinghub.elsevier.com/retrieve/pii/S0888-7543(20)32061-9
18644427,"Preliminary study on crystal dissolution activity of Rotula aquatica, Commiphora wightii and Boerhaavia diffusa extracts","Raut AA, Sunder S, Sarkar S, Pandita NS, Vaidya AD.",Fitoterapia. 2008 Dec;79(7-8):544-7. doi: 10.1016/j.fitote.2008.06.001. Epub 2008 Jul 1.,Raut AA,Fitoterapia,2008,23/07/08,,,10.1016/j.fitote.2008.06.001,https://linkinghub.elsevier.com/retrieve/pii/S0367-326X(08)00122-6
36415006,"Efficacy and safety of Sri Lankan traditional medicine regimen for knee osteoarthritis: study protocol for an open-label, active comparator, randomized controlled trial","De Silva H, Perera PK, Jayasinghe S, De Silva Weliange S.",Trials. 2022 Nov 22;23(1):955. doi: 10.1186/s13063-022-06903-8.,De Silva H,Trials,2022,22/11/22,PMC9682721,,10.1186/s13063-022-06903-8,https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-022-06903-8
35152549,"Standardization and validation of phytometabolites by UHPLC and high-performance thin layer chromatography for rapid quality assessment of ancient ayurvedic medicine, Mahayograj Guggul","Balkrishna A, Tomer M, Joshi M, Gujral S, Kumar Mishra R, Srivastava J, Varshney A.",J Sep Sci. 2022 May;45(10):1616-1635. doi: 10.1002/jssc.202100935. Epub 2022 Feb 25.,Balkrishna A,J Sep Sci,2022,13/02/22,,,10.1002/jssc.202100935,https://doi.org/10.1002/jssc.202100935
33906452,Physicochemical Variation in Nanogold-Based Ayurved Medicine Suvarna Bhasma Produced by Various Manufacturers Lead to Different In Vivo Bioaccumulation Profiles,"Biswas S, Chawda M, Thakur K, Gudi R, Bellare J.",J Evid Based Integr Med. 2021 Jan-Dec;26:2515690X211011064. doi: 10.1177/2515690X211011064.,Biswas S,J Evid Based Integr Med,2021,28/04/21,PMC8743929,,10.1177/2515690X211011064,https://journals.sagepub.com/doi/abs/10.1177/2515690X211011064?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed
26862275,Anti-arthritic Activity of Dashanga Ghana (An Ayurvedic Compound Formulation) Against Freund's Adjuvant Induced Arthritis in Charles Foster Albino Rats,"Ruknuddin G, Patgiri BJ, Prajapati PK, Ashok BK, Ravishankar B.",Toxicol Int. 2015 Jan-Apr;22(1):141-6. doi: 10.4103/0971-6580.172279.,Ruknuddin G,Toxicol Int,2015,11/02/16,PMC4721162,,10.4103/0971-6580.172279,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/26862275/
27297511,Ayurvedic approach for management of ankylosing spondylitis: A case report,"Singh SK, Rajoria K.",J Ayurveda Integr Med. 2016 Mar;7(1):53-6. doi: 10.1016/j.jaim.2015.10.002. Epub 2016 May 24.,Singh SK,J Ayurveda Integr Med,2016,15/06/16,PMC4910574,,10.1016/j.jaim.2015.10.002,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(16)30019-5
30653338,Reliability of Ayurvedic Diagnosis for Knee Osteoarthritis Patients: A Nested Diagnostic Study Within a Randomized Controlled Trial,"Kessler CS, Morandi A, Kumar A, Dhiman KS, Gupta S, Icke K, Bühner C, Stapelfeldt E, Wischnewsky M, Kronpaß L, Murthy V, Michalsen A, Witt CM.",J Altern Complement Med. 2019 Sep;25(9):910-919. doi: 10.1089/acm.2018.0273. Epub 2019 Jan 17.,Kessler CS,J Altern Complement Med,2019,18/01/19,PMC6748397,,10.1089/acm.2018.0273,https://www.liebertpub.com/doi/10.1089/acm.2018.0273?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed
12038652,Non-allopathic systems of medicine--time to reflect and act,"Gaitonde S, Joshi VR.",J Assoc Physicians India. 2002 Feb;50:223-4.,Gaitonde S,J Assoc Physicians India,2002,01/06/02,,,,No full text link found
38655097,Health and demographic indicators of selected districts of India: An impact of Swasthya Rakshan Programme (SRP),"Sharma VK, Mahajon B, Jain AK, Singh R, Rana R, Makhija P, Srikanth N, Dhiman KS.",J Public Health Res. 2024 Apr 22;13(2):22799036241243272. doi: 10.1177/22799036241243272. eCollection 2024 Apr.,Sharma VK,J Public Health Res,2024,24/04/24,PMC11036932,,10.1177/22799036241243272,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/38655097/
36647352,Anti-inflammatory effect and signaling mechanism of 8-shogaol and 10-shogaol in a dextran sodium sulfate-induced colitis mouse model,"Kim HR, Noh EM, Kim SY.",Heliyon. 2023 Jan 5;9(1):e12778. doi: 10.1016/j.heliyon.2022.e12778. eCollection 2023 Jan.,Kim HR,Heliyon,2023,17/01/23,PMC9840358,,10.1016/j.heliyon.2022.e12778,https://linkinghub.elsevier.com/retrieve/pii/S2405-8440(22)04066-X
36462347,Idiosyncratic adversity reported after oral consumption of an ayurvedic formulation containing bhallataka (Semecarpus anacardium): A case report,"Rastogi S, Pandey P.",J Ayurveda Integr Med. 2022 Oct-Dec;13(4):100635. doi: 10.1016/j.jaim.2022.100635. Epub 2022 Nov 30.,Rastogi S,J Ayurveda Integr Med,2022,03/12/22,PMC9713265,,10.1016/j.jaim.2022.100635,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(22)00094-8
22529679,Evaluating higher doses of Shunthi - Guduchi formulations for safety in treatment of osteoarthritis knees: A Government of India NMITLI arthritis project,"Chopra A, Saluja M, Tillu G, Venugopalan A, Narsimulu G, Sarmukaddam S, Patwardhan B.",J Ayurveda Integr Med. 2012 Jan;3(1):38-44. doi: 10.4103/0975-9476.93948.,Chopra A,J Ayurveda Integr Med,2012,25/04/12,PMC3326794,,10.4103/0975-9476.93948,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/22529679/
22537486,Anti-proliferative effects of Salacia reticulata leaves hot-water extract on interleukin-1β-activated cells derived from the synovium of rheumatoid arthritis model mice,"Sekiguchi Y, Mano H, Nakatani S, Shimizu J, Kobata K, Wada M.",BMC Res Notes. 2012 Apr 26;5:198. doi: 10.1186/1756-0500-5-198.,Sekiguchi Y,BMC Res Notes,2012,28/04/12,PMC3441245,,10.1186/1756-0500-5-198,https://bmcresnotes.biomedcentral.com/articles/10.1186/1756-0500-5-198
25878458,"Experimental evaluation of analgesic, anti-inflammatory and anti-platelet potential of Dashamoola","Parekar RR, Bolegave SS, Marathe PA, Rege NN.",J Ayurveda Integr Med. 2015 Jan-Mar;6(1):11-8. doi: 10.4103/0975-9476.146565.,Parekar RR,J Ayurveda Integr Med,2015,17/04/15,PMC4395922,,10.4103/0975-9476.146565,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/25878458/
32015952,Antidiabetic activity of standardized dried tubers extract of Aconitum napellus in streptozotocin-induced diabetic rats,"Shoaib A, Salem-Bekhit MM, Siddiqui HH, Dixit RK, Bayomi M, Khalid M, Badruddeen, Shakeel F.",3 Biotech. 2020 Feb;10(2):56. doi: 10.1007/s13205-019-2043-7. Epub 2020 Jan 22.,Shoaib A,3 Biotech,2020,05/02/20,PMC6975818,,10.1007/s13205-019-2043-7,https://dx.doi.org/10.1007/s13205-019-2043-7
23669808,Complementary and alternative medicine and conventional medicine: hand in hand,"Jadhav PM, Jadhav MP.",J Clin Rheumatol. 2013 Jun;19(4):227. doi: 10.1097/RHU.0b013e318293de6e.,Jadhav PM,J Clin Rheumatol,2013,15/05/13,,,10.1097/RHU.0b013e318293de6e,https://doi.org/10.1097/RHU.0b013e318293de6e
23054487,"Tricin 4'-O-(erythro-β-guaiacylglyceryl) ether and tricin 4'-O-(threo-β-guaiacylglyceryl) ether isolated from Njavara (Oryza sativa L. var. Njavara), induce apoptosis in multiple tumor cells by mitochondrial pathway","Mohanlal S, Maney SK, Santhoshkumar TR, Jayalekshmy A.",J Nat Med. 2013 Jul;67(3):528-33. doi: 10.1007/s11418-012-0710-7. Epub 2012 Oct 9.,Mohanlal S,J Nat Med,2013,12/10/12,,,10.1007/s11418-012-0710-7,https://dx.doi.org/10.1007/s11418-012-0710-7
38554318,Cytotoxic effect of Rotheca serrata on cancer cell lines MCF-7 and neuroblastoma SH-SY5Y,"Gadade JP, Patil SA.",J Cancer Res Ther. 2024 Jan 1;20(1):181-188. doi: 10.4103/jcrt.jcrt_1325_22. Epub 2023 Apr 8.,Gadade JP,J Cancer Res Ther,2024,30/03/24,,,10.4103/jcrt.jcrt_1325_22,https://doi.org/10.4103/jcrt.jcrt_1325_22
24501528,Anti-inflammatory effect of Chandrashura (Lepidium sativum Linn.) an experimental study,"Raval ND, Ravishankar B, Ashok BK.",Ayu. 2013 Jul;34(3):302-4. doi: 10.4103/0974-8520.123132.,Raval ND,Ayu,2013,07/02/14,PMC3902599,,10.4103/0974-8520.123132,http://www.ayujournal.org/article.asp?issn=0974-8520;year=2013;volume=34;issue=3;spage=302;epage=304;aulast=Raval;type=2
37243678,Immunomodulatory potential of bioactive glycoside syringin: a network pharmacology and molecular modeling approach,"Singh VK, Thakur DC, Rajak N, Giri R, Garg N.",J Biomol Struct Dyn. 2024 May;42(8):3906-3919. doi: 10.1080/07391102.2023.2216299. Epub 2023 May 27.,Singh VK,J Biomol Struct Dyn,2024,27/05/23,,,10.1080/07391102.2023.2216299,No full text link found
15516832,Withaferin A is a potent inhibitor of angiogenesis,"Mohan R, Hammers HJ, Bargagna-Mohan P, Zhan XH, Herbstritt CJ, Ruiz A, Zhang L, Hanson AD, Conner BP, Rougas J, Pribluda VS.",Angiogenesis. 2004;7(2):115-22. doi: 10.1007/s10456-004-1026-3.,Mohan R,Angiogenesis,2004,02/11/04,,,10.1007/s10456-004-1026-3,No full text link found
30660454,Scientific validation of anti-arthritic effect of Kashayams - A polyherbal formulation in collagen induced arthritic rats,"I S A, Krishnan S, Peter J, Sabu V, Helen A.",J Ayurveda Integr Med. 2021 Jan-Mar;12(1):20-27. doi: 10.1016/j.jaim.2018.02.139. Epub 2019 Jan 17.,I S A,J Ayurveda Integr Med,2021,21/01/19,PMC8039352,,10.1016/j.jaim.2018.02.139,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(17)30742-8
20607614,Inhibition of pro-inflammatory mediators: role of Bacopa monniera (L.) Wettst,"Viji V, Helen A.",Inflammopharmacology. 2011 Oct;19(5):283-91. doi: 10.1007/s10787-010-0046-4. Epub 2010 Jul 6.,Viji V,Inflammopharmacology,2011,08/07/10,,,10.1007/s10787-010-0046-4,https://dx.doi.org/10.1007/s10787-010-0046-4
23741156,Anti-granuloma activity of Coriandrum sativum in experimental models,"Nair V, Singh S, Gupta YK.",J Ayurveda Integr Med. 2013 Jan;4(1):13-8. doi: 10.4103/0975-9476.109544.,Nair V,J Ayurveda Integr Med,2013,07/06/13,PMC3667427,,10.4103/0975-9476.109544,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/23741156/
32980485,Chemotaxonomy of the ethnic antidote Aristolochia indica for aristolochic acid content: Implications of anti-phospholipase activity and genotoxicity study,"Dey A, Hazra AK, Mukherjee A, Nandy S, Pandey DK.",J Ethnopharmacol. 2021 Feb 10;266:113416. doi: 10.1016/j.jep.2020.113416. Epub 2020 Sep 24.,Dey A,J Ethnopharmacol,2021,27/09/20,,,10.1016/j.jep.2020.113416,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(20)33301-8
33534783,Toxicity studies of a gum guggul extract formulation administered by gavage to Sprague Dawley (Hsd:Sprague Dawley SD) rats and B6C3F1/N mice,National Toxicology Program.,Toxic Rep Ser. 2020 Jun;(99):NTP-TOX-99. doi: 10.22427/NTP-TOX-99.,National Toxicology Program,Toxic Rep Ser,2020,03/02/21,PMC8039874,,10.22427/NTP-TOX-99,https://ntp.niehs.nih.gov/go/tox099abs
30267971,Bioactivity-based analysis and chemical characterization of anti-inflammatory compounds from Curcuma zedoaria rhizomes using LPS-stimulated RAW264.7 cells,"Lee TK, Trinh TA, Lee SR, Kim S, So HM, Moon E, Hwang GS, Kang KS, Kim JH, Yamabe N, Kim KH.",Bioorg Chem. 2019 Feb;82:26-32. doi: 10.1016/j.bioorg.2018.09.027. Epub 2018 Sep 20.,Lee TK,Bioorg Chem,2019,30/09/18,,,10.1016/j.bioorg.2018.09.027,https://linkinghub.elsevier.com/retrieve/pii/S0045-2068(18)30799-5
38505109,Evaluation of the anti-arthritic activity of Rhuflex-F - A proprietary Ayurvedic herbomineral formulation in albino rats,"Gupta V, Panigrahi B, De S, Nariya MB.",Ayu. 2023 Jan-Mar;44(1):30-37. doi: 10.4103/ayu.ayu_327_21. Epub 2024 Feb 21.,Gupta V,Ayu,2023,20/03/24,PMC10946666,,10.4103/ayu.ayu_327_21,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/38505109/
21986230,Antiarthritic activity of various extracts of Mesua ferrea Linn. seed,"Jalalpure SS, Mandavkar YD, Khalure PR, Shinde GS, Shelar PA, Shah AS.",J Ethnopharmacol. 2011 Dec 8;138(3):700-4. doi: 10.1016/j.jep.2011.09.042. Epub 2011 Oct 1.,Jalalpure SS,J Ethnopharmacol,2011,12/10/11,,,10.1016/j.jep.2011.09.042,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(11)00713-6
21731368,A traditional way of rice preparation with particular benefits for Arthritis and musculo-skeletal disorders,Kontum M.,J Ayurveda Integr Med. 2010 Oct;1(4):241-2. doi: 10.4103/0975-9476.74421.,Kontum M,J Ayurveda Integr Med,2010,07/07/11,PMC3117313,,10.4103/0975-9476.74421,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/21731368/
31730889,"Physicochemical characterization of Suvarna Bhasma, its toxicity profiling in rat and behavioural assessment in zebrafish model","Biswas S, Dhumal R, Selkar N, Bhagat S, Chawda M, Thakur K, Gudi R, Vanage G, Bellare J.",J Ethnopharmacol. 2020 Mar 1;249:112388. doi: 10.1016/j.jep.2019.112388. Epub 2019 Nov 12.,Biswas S,J Ethnopharmacol,2020,16/11/19,,,10.1016/j.jep.2019.112388,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(19)31158-4
29395895,Amelioration of anti-hepatotoxic effect by Lichen rangiferinus against alcohol induced liver damage in rats,"Shukla I, Azmi L, Gupta SS, Upreti DK, Rao CV.",J Ayurveda Integr Med. 2019 Jul-Sep;10(3):171-177. doi: 10.1016/j.jaim.2017.08.007. Epub 2018 Feb 1.,Shukla I,J Ayurveda Integr Med,2019,04/02/18,PMC6822147,,10.1016/j.jaim.2017.08.007,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(17)30047-5
10852255,Randomized double blind trial of an ayurvedic plant derived formulation for treatment of rheumatoid arthritis,"Chopra A, Lavin P, Patwardhan B, Chitre D.",J Rheumatol. 2000 Jun;27(6):1365-72.,Chopra A,J Rheumatol,2000,14/06/00,,,,No full text link found
29861524,Reduced synovial inflammation and inhibition of matrix metalloproteinases explicates anti-osteoarthritis activity of polyherbal formulations,"Ingale DR, Kulkarni PG, Koppikar SJ, Harsulkar AM, Moghe AS, Jagtap SD.",Indian J Pharmacol. 2018 Jan-Feb;50(1):22-29. doi: 10.4103/ijp.IJP_29_17.,Ingale DR,Indian J Pharmacol,2018,05/06/18,PMC5954629,,10.4103/ijp.IJP_29_17,https://doi.org/10.4103/ijp.IJP_29_17
28160761,"Efficacy of an Ayurvedic Formulation for Mild-to-moderate Osteoarthritis: A Phase 3, Randomized Controlled Study","Modak MD, Barde MP.",Altern Ther Health Med. 2017 Jan;23(1):26-33.,Modak MD,Altern Ther Health Med,2017,05/02/17,,,,No full text link found
18392103,Indian herbal medicines: possible potent therapeutic agents for rheumatoid arthritis,"Rathore B, Ali Mahdi A, Nath Paul B, Narayan Saxena P, Kumar Das S.",J Clin Biochem Nutr. 2007 Jul;41(1):12-7. doi: 10.3164/jcbn.2007002.,Rathore B,J Clin Biochem Nutr,2007,09/04/08,PMC2274991,,10.3164/jcbn.2007002,http://joi.jlc.jst.go.jp/JST.JSTAGE/jcbn/41.12?lang=en&from=PubMed
24176784,2013 SYR Accepted Poster Abstracts,,Int J Yoga Therap. 2013;23 Suppl:32-53.,,Int J Yoga Therap,2013,02/11/13,,,,No full text link found
38986268,Exploration of leech therapy in treating gouty rats and its uric acid lowering mechanism,"Chao GL, Shen LX, Li P, Hua PX, Ling ML, Yuan ZY, Chuang C.",J Ayurveda Integr Med. 2024 Jul-Aug;15(4):100949. doi: 10.1016/j.jaim.2024.100949. Epub 2024 Jul 9.,Chao GL,J Ayurveda Integr Med,2024,10/07/24,PMC11295985,,10.1016/j.jaim.2024.100949,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(24)00064-0
14740454,Agreement among Ayurvedic practitioners in the identification and treatment of three cases of inflammatory arthritis,"Prlic HM, Lehman AJ, Cibere J, Sodhi V, Varma S, Sukumaran T, Esdaile JM.",Clin Exp Rheumatol. 2003 Nov-Dec;21(6):747-52.,Prlic HM,Clin Exp Rheumatol,2003,27/01/04,,,,No full text link found
18254519,Complementary and alternative medicine use in rheumatoid arthritis: an audit of patients visiting a tertiary care centre,"Zaman T, Agarwal S, Handa R.",Natl Med J India. 2007 Sep-Oct;20(5):236-9.,Zaman T,Natl Med J India,2007,08/02/08,,,,No full text link found
31734448,Attenuation of adjuvant-induced arthrits by Stereospermum colais and Stereospermum suaveolens via modulation of inflammatory mediators,"Latha S, Chamundeeswari D, Seethalakshmi S, Senthamarai R.",J Ethnopharmacol. 2020 Mar 1;249:112394. doi: 10.1016/j.jep.2019.112394. Epub 2019 Nov 14.,Latha S,J Ethnopharmacol,2020,18/11/19,,,10.1016/j.jep.2019.112394,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(18)30051-5
24459390,Comparative study of amrutbhallataka and glucosamine sulphate in osteoarthritis: Six months open label randomized controlled clinical trial,"Raut A, Bichile L, Chopra A, Patwardhan B, Vaidya A.",J Ayurveda Integr Med. 2013 Oct;4(4):229-36. doi: 10.4103/0975-9476.123708.,Raut A,J Ayurveda Integr Med,2013,25/01/14,PMC3891179,,10.4103/0975-9476.123708,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/24459390/
33935441,Management of hypothyroidism by Kshara Basti (therapeutic enema)- A case report,"Singh K, Rais A, Thakar AB.",Ayu. 2019 Oct-Dec;40(4):237-241. doi: 10.4103/ayu.AYU_297_18. Epub 2021 Jan 14.,Singh K,Ayu,2019,03/05/21,PMC8078602,,10.4103/ayu.AYU_297_18,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/33935441/
23559786,Medicinal and cosmetic uses of Bee's Honey - A review,"Ediriweera ER, Premarathna NY.",Ayu. 2012 Apr;33(2):178-82. doi: 10.4103/0974-8520.105233.,Ediriweera ER,Ayu,2012,06/04/13,PMC3611628,,10.4103/0974-8520.105233,http://www.ayujournal.org/article.asp?issn=0974-8520;year=2012;volume=33;issue=2;spage=178;epage=182;aulast=Ediriweera;type=2
1538868,Rheumatoid arthritis and Maharishi Ayur-Veda,Lovell-Smith HD.,N Z Med J. 1992 Feb 12;105(927):42.,Lovell-Smith HD,N Z Med J,1992,12/02/92,,,,No full text link found
18941878,Synergistic effect of Kalpaamruthaa on antiarthritic and antiinflammatory properties--its mechanism of action,"Mythilypriya R, Shanthi P, Sachdanandam P.",Inflammation. 2008 Dec;31(6):391-8. doi: 10.1007/s10753-008-9090-2.,Mythilypriya R,Inflammation,2008,23/10/08,,,10.1007/s10753-008-9090-2,https://doi.org/10.1007/s10753-008-9090-2
31641694,Adverse events with ayurvedic medicines- possible adulteration and some inherent toxicities,"Paudyal B, Thapa A, Sigdel KR, Adhikari S, Basnyat B.",Wellcome Open Res. 2019 Nov 1;4:23. doi: 10.12688/wellcomeopenres.15096.3. eCollection 2019.,Paudyal B,Wellcome Open Res,2019,14/11/19,PMC6790910,,10.12688/wellcomeopenres.15096.3,https://wellcomeopenresearch.org/articles/10.12688/wellcomeopenres.15096.3/doi
28987361,Comparative effect of horse gram and black gram on inflammatory mediators and antioxidant status,"Rajagopal V, Pushpan CK, Antony H.",J Food Drug Anal. 2017 Oct;25(4):845-853. doi: 10.1016/j.jfda.2016.08.010. Epub 2016 Nov 11.,Rajagopal V,J Food Drug Anal,2017,09/10/17,PMC9328873,,10.1016/j.jfda.2016.08.010,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/28987361/
38761758,Phenolic enriched fraction of Clerodendrum glandulosum Lindl. leaf extract ameliorates hyperglycemia and oxidative stress in streptozotocin-nicotinamide induced diabetic rats,"Khound P, Deb PK, Bhattacharjee S, Medina KD, Sarma PP, Sarkar B, Devi R.",J Ayurveda Integr Med. 2024 May-Jun;15(3):100906. doi: 10.1016/j.jaim.2024.100906. Epub 2024 May 17.,Khound P,J Ayurveda Integr Med,2024,18/05/24,PMC11127218,,10.1016/j.jaim.2024.100906,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(24)00021-4
23326092,Evaluation of anti-arthritic potential of the methanolic extract of the aerial parts of Costus speciosus,"Srivastava S, Singh P, Jha KK, Mishra G, Srivastava S, Khosa RL.",J Ayurveda Integr Med. 2012 Oct;3(4):204-8. doi: 10.4103/0975-9476.104443.,Srivastava S,J Ayurveda Integr Med,2012,18/01/13,PMC3545241,,10.4103/0975-9476.104443,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/23326092/
1494322,Ginger (Zingiber officinale) in rheumatism and musculoskeletal disorders,"Srivastava KC, Mustafa T.",Med Hypotheses. 1992 Dec;39(4):342-8. doi: 10.1016/0306-9877(92)90059-l.,Srivastava KC,Med Hypotheses,1992,01/12/92,,,10.1016/0306-9877(92)90059-l,https://linkinghub.elsevier.com/retrieve/pii/0306-9877(92)90059-L
19874236,Inhibitory effects of Cynodon dactylon L. on inflammation and oxidative stress in adjuvant treated rats,"Sindhu G, Ratheesh M, Shyni GL, Helen A.",Immunopharmacol Immunotoxicol. 2009;31(4):647-53. doi: 10.3109/08923970902947325.,Sindhu G,Immunopharmacol Immunotoxicol,2009,31/10/09,,,10.3109/08923970902947325,https://www.tandfonline.com/doi/full/10.3109/08923970902947325
